wav_filename,wav_filesize,start_time,stop_time,label
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_267775_275273_2.wav,239980.0,267775.0,275273.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_270171_295368_1.wav,806348.0,270171.0,295368.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_284857_289074_2.wav,134988.0,284857.0,289074.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_295368_298660_2.wav,105388.0,295368.0,298660.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_298660_309308_1.wav,340780.0,298660.0,309308.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_309308_318316_2.wav,288300.0,309308.0,318316.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_319430_324300_1.wav,155884.0,319430.0,324300.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_324300_332306_2.wav,256236.0,324300.0,332306.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_332306_353474_1.wav,677420.0,332306.0,353474.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_353474_355972_2.wav,79980.0,353474.0,355972.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_355972_388710_1.wav,1047660.0,355972.0,388710.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_373793_377535_2.wav,119788.0,373793.0,377535.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_388710_395104_2.wav,204652.0,388710.0,395104.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_395104_402075_1.wav,223116.0,395104.0,402075.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_402075_410772_2.wav,278348.0,402075.0,410772.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_410772_418194_1.wav,237548.0,410772.0,418194.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_418194_420524_2.wav,74604.0,418194.0,420524.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_421332_432105_0.wav,344780.0,421332.0,432105.0,0.0
