wav_filename,wav_filesize,start_time,stop_time,label
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_640904_654599_0.wav,438284.0,640904.0,654599.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_654599_671214_1.wav,531724.0,654599.0,671214.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_671214_673711_0.wav,79948.0,671214.0,673711.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_673711_680267_1.wav,209836.0,673711.0,680267.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_680267_689579_0.wav,298028.0,680267.0,689579.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_687337_733391_1.wav,1473772.0,687337.0,733391.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_733391_740668_0.wav,232908.0,733391.0,740668.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_740668_798696_1.wav,1856940.0,740668.0,798696.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_798696_807928_0.wav,295468.0,798696.0,807928.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_807928_844515_1.wav,1170828.0,807928.0,844515.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_844515_864805_0.wav,649324.0,844515.0,864805.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_864805_882174_1.wav,555852.0,864805.0,882174.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_882174_887940_0.wav,184556.0,882174.0,887940.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_887940_890272_1.wav,74668.0,887940.0,890272.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_890272_893987_0.wav,118924.0,890272.0,893987.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_893987_931184_1.wav,1190348.0,893987.0,931184.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_931184_939790_0.wav,275436.0,931184.0,939790.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_939790_968072_1.wav,905068.0,939790.0,968072.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_968072_976651_0.wav,274572.0,968072.0,976651.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_976651_1051186_1.wav,2385164.0,976651.0,1051186.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1051186_1053930_0.wav,87852.0,1051186.0,1053930.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1053930_1159007_1.wav,3362508.0,1053930.0,1159007.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1159007_1164601_0.wav,179052.0,1159007.0,1164601.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1164601_1224732_1.wav,1924236.0,1164601.0,1224732.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1224732_1227845_0.wav,99660.0,1224732.0,1227845.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1227845_1289240_1.wav,1964684.0,1227845.0,1289240.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1289240_1300708_0.wav,367020.0,1289240.0,1300708.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1300708_1323989_1.wav,745036.0,1300708.0,1323989.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1323989_1328112_0.wav,131980.0,1323989.0,1328112.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1328112_1405714_1.wav,2483308.0,1328112.0,1405714.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1405714_1411079_0.wav,171724.0,1405714.0,1411079.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1411079_1536480_1.wav,4012876.0,1411079.0,1536480.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1536480_1540117_0.wav,116428.0,1536480.0,1540117.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1540117_1601813_1.wav,1974316.0,1540117.0,1601813.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1601813_1607357_0.wav,177452.0,1601813.0,1607357.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1607357_1645866_1.wav,1232332.0,1607357.0,1645866.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1645866_1648632_0.wav,88556.0,1645866.0,1648632.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_1648632_1651489_1.wav,91468.0,1648632.0,1651489.0,1.0
